Trial Number,Frame,"Machine ID, Reward"
1,806,1,False
2,2629,2,True
3,4092,3,False
4,5627,4,True
5,7261,2,False
6,8829,2,False
7,10253,4,False
8,11617,1,False
9,13191,4,True
10,14751,3,False
11,16276,2,False
12,17823,1,True
13,19293,4,False
14,20955,2,True
15,22364,3,True
16,23836,1,True
17,25221,2,False
18,26637,4,False
19,28120,2,False
20,29854,2,False
21,32665,1,True
22,34248,3,False
23,35859,1,False
24,37455,1,False
25,38843,2,False
26,40515,4,False
27,41982,3,False
28,43466,4,False
29,44945,3,False
30,46471,3,False
31,49442,1,False
32,50917,2,False
33,52624,2,False
34,54017,1,False
35,55317,2,True
36,56686,3,False
37,58084,3,True
38,59495,3,False
39,61052,3,False
40,62441,1,False
41,63810,2,False
42,65227,3,False
43,66799,1,False
44,68453,2,False
45,69799,2,False
46,71393,3,False
47,72824,2,False
48,74198,1,False
49,75738,1,False
50,77238,3,False
51,78661,2,False
52,80499,2,True
53,82101,1,False
54,83524,3,True
55,85020,3,False
56,86766,1,False
57,88310,3,False
58,89686,1,False
59,91227,2,False
60,92681,2,False
61,94193,2,False
62,95604,2,False
63,96962,2,False
64,98415,3,False
65,99930,1,False
66,101265,2,False
67,102700,3,False
68,104218,2,True
69,105601,2,False
70,106930,3,True
71,108687,2,False
72,110729,2,False
73,112562,1,True
74,114106,2,False
75,115516,3,False
