1,1580,2,True,
2,4380,4,False,
3,7000,1,False,
4,9460,2,True,
5,12140,3,False,
6,14900,4,False,
7,17560,3,True,
8,20420,1,False,
9,23340,2,False,
10,26060,3,True,
11,28760,4,False,
12,31340,2,True,
13,33720,1,False,
14,36180,4,True,
15,38500,3,False,
16,41120,2,True,
17,43560,1,False,
18,45940,2,True,
19,48460,3,False,
20,51020,4,False,
21,53460,1,False,
22,56100,2,True,
23,58540,3,False,
24,61060,4,False,
25,63040,1,True,
26,65320,2,True,
27,67700,3,False,
28,70220,4,False,
29,72900,1,False,
30,75480,2,False,
31,77980,4,False,
32,80620,3,True,
33,83200,1,False,
34,85580,3,False,
35,87780,4,False,
36,91220,3,False,
37,93780,2,False,
38,96400,3,False,
39,99120,4,False,
40,101860,1,True,
41,104420,2,False,
42,107160,4,False,
43,109800,2,False,
44,112240,4,False,
45,114980,1,True,
46,117620,3,False,
47,120220,4,True,
48,122600,1,True,
49,125000,2,False,
50,127360,3,True,
51,129680,4,True,
52,132260,1,False,
53,134840,2,True,
54,137280,3,True,
55,139820,4,False,
56,142320,1,False,
57,144780,2,False,
58,147200,4,False,
59,149880,3,False,
60,152400,2,False,
61,154860,1,False,
62,157560,3,False,
63,160380,4,False,
64,162920,1,False,
65,165420,4,False,
66,168140,3,False,
67,170800,1,True,
68,173460,2,False,
69,176140,4,False,
70,178800,1,False,
71,181580,2,False,
72,184400,3,False,
73,187040,4,False,
74,189600,1,False,
75,192220,2,False,
76,195180,3,False,
77,197860,4,False,
