experiment_id,trial,machine,win,predicted_machine,prob_machine_0,prob_machine_1,prob_machine_2,prob_machine_3
1743724894,0,1,True,0,0.25,0.25,0.25,0.25
1743724894,1,0,False,1,0.0,1.0,0.0,0.0
1743724894,2,1,False,0,0.5,0.5,0.0,0.0
1743724894,3,3,True,1,0.333,0.667,0.0,0.0
1743724894,4,2,True,1,0.25,0.5,0.0,0.25
1743724894,5,1,True,1,0.2,0.4,0.2,0.2
1743724894,6,0,False,1,0.167,0.5,0.167,0.167
1743724894,7,3,True,1,0.286,0.429,0.143,0.143
1743724894,8,0,False,1,0.25,0.375,0.125,0.25
1743724894,9,3,False,0,0.333,0.333,0.111,0.222
1743724894,10,2,True,0,0.3,0.3,0.1,0.3
1743724894,11,1,False,0,0.273,0.273,0.182,0.273
1743724894,12,2,False,1,0.25,0.333,0.167,0.25
1743724894,13,0,False,1,0.231,0.308,0.231,0.231
1743724894,14,3,False,0,0.286,0.286,0.214,0.214
1743724894,15,1,True,0,0.267,0.267,0.2,0.267
1743724894,16,2,True,1,0.25,0.312,0.188,0.25
1743724894,17,1,False,1,0.235,0.294,0.235,0.235
1743724894,18,2,False,1,0.222,0.333,0.222,0.222
1743724894,19,2,True,1,0.211,0.316,0.263,0.211
1743724894,20,1,True,1,0.2,0.3,0.3,0.2
1743724894,21,2,False,1,0.19,0.333,0.286,0.19
1743724894,22,1,False,1,0.182,0.318,0.318,0.182
1743724894,23,2,True,1,0.174,0.348,0.304,0.174
1743724894,24,3,True,1,0.167,0.333,0.333,0.167
1743724894,25,2,False,1,0.16,0.32,0.32,0.2
1743724894,26,3,False,2,0.154,0.308,0.346,0.192
1743724894,27,1,False,2,0.148,0.296,0.333,0.222
1743724894,28,0,True,1,0.143,0.321,0.321,0.214
1743724894,29,2,False,1,0.172,0.31,0.31,0.207
,,,,,,,,
,Accuracy,0.1333,,,,,,
