Trial Number,Torso Classification,Machine ID,Correct
1.0,12,1.0,True
2.0,12,2.0,True
3.0,34,3.0,True
4.0,34,4.0,True
5.0,12,2.0,True
6.0,12,2.0,True
7.0,34,4.0,True
8.0,12,1.0,True
9.0,34,4.0,True
10.0,12,3.0,False
11.0,12,2.0,True
12.0,12,1.0,True
13.0,34,4.0,True
14.0,12,2.0,True
15.0,34,3.0,True
16.0,34,1.0,False
17.0,12,2.0,True
18.0,34,4.0,True
19.0,12,2.0,True
20.0,12,2.0,True
21.0,12,1.0,True
22.0,12,3.0,False
23.0,12,1.0,True
24.0,12,1.0,True
25.0,12,2.0,True
26.0,34,4.0,True
27.0,12,3.0,False
28.0,34,4.0,True
29.0,12,3.0,False
30.0,12,3.0,False
31.0,12,1.0,True
32.0,34,2.0,False
33.0,34,2.0,False
34.0,34,1.0,False
35.0,34,2.0,False
36.0,34,3.0,True
37.0,34,3.0,True
38.0,34,3.0,True
39.0,34,3.0,True
40.0,34,1.0,False
41.0,34,2.0,False
42.0,34,3.0,True
43.0,34,1.0,False
44.0,34,2.0,False
45.0,34,2.0,False
46.0,12,3.0,False
47.0,12,2.0,True
48.0,34,1.0,False
49.0,34,1.0,False
50.0,34,3.0,True
51.0,34,2.0,False
52.0,12,2.0,True
53.0,34,1.0,False
54.0,34,3.0,True
55.0,34,3.0,True
56.0,34,1.0,False
57.0,34,3.0,True
58.0,12,1.0,True
59.0,34,2.0,False
60.0,34,2.0,False
61.0,12,2.0,True
62.0,34,2.0,False
63.0,34,2.0,False
64.0,34,3.0,True
65.0,12,1.0,True
66.0,34,2.0,False
67.0,34,3.0,True
68.0,34,2.0,False
69.0,34,2.0,False
70.0,34,3.0,True
71.0,34,2.0,False
72.0,34,2.0,False
73.0,34,1.0,False
74.0,34,2.0,False
75.0,34,3.0,True
